rank,hkm_id,formula_id,length,formula,atom_ids,features,source_pattern_ids,train_dedup_support0_excluding_sources,train_dedup_support1_excluding_sources,train_dedup_precision0_excluding_sources,train_dedup_precision1_excluding_sources,train_dedup_recall0_excluding_sources,train_dedup_recall1_excluding_sources,train_precision0_recall0_mean,test_support0,test_support1,test_precision0,test_precision1,test_recall0,test_recall1
1,len4__admissions__albumin__ecog__plt__combo61507__tmpl3,len4_0004,4,(((x1 OR x2) OR x3) AND x4),"[""atom_32"", ""atom_125939"", ""atom_22550"", ""atom_174955""]","[""admissions"", ""albumin"", ""ecog"", ""plt""]","[""pattern_5"", ""pattern_29785"", ""pattern_4949"", ""pattern_42395""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,1,2,0.3333333333333333,0.6666666666666666,0.005,0.002162162162162162
2,len4__admissions__albumin__creatinine__ecog__combo14795__tmpl4,len4_0005,4,((x1 OR x2) AND (x3 OR x4)),"[""atom_2176"", ""atom_151746"", ""atom_210988"", ""atom_16004""]","[""admissions"", ""albumin"", ""creatinine"", ""ecog""]","[""pattern_462"", ""pattern_36400"", ""pattern_51949"", ""pattern_3487""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,0,1,0.0,1.0,0.0,0.001081081081081081
3,len4__admissions__albumin__ast__creatinine__combo56726__tmpl4,len4_0005,4,((x1 OR x2) AND (x3 OR x4)),"[""atom_32"", ""atom_112885"", ""atom_105487"", ""atom_7574""]","[""admissions"", ""albumin"", ""ast"", ""creatinine""]","[""pattern_5"", ""pattern_26428"", ""pattern_24571"", ""pattern_1642""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,0,1,0.0,1.0,0.0,0.001081081081081081
4,len4__admissions__albumin__ast__neutrophils__combo58568__tmpl4,len4_0005,4,((x1 OR x2) AND (x3 OR x4)),"[""atom_32"", ""atom_123108"", ""atom_142872"", ""atom_107910""]","[""admissions"", ""albumin"", ""ast"", ""neutrophils""]","[""pattern_5"", ""pattern_29068"", ""pattern_34143"", ""pattern_25190""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,0,0,0.0,0.0,0.0,0.0
5,len4__admissions__albumin__creatinine__ldh__combo77112__tmpl4,len4_0005,4,((x1 OR x2) AND (x3 OR x4)),"[""atom_32"", ""atom_189841"", ""atom_280597"", ""atom_140338""]","[""admissions"", ""albumin"", ""creatinine"", ""ldh""]","[""pattern_5"", ""pattern_46312"", ""pattern_70908"", ""pattern_33503""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,0,0,0.0,0.0,0.0,0.0
6,len4__admissions__albumin__ast__ecog__combo31750__tmpl4,len4_0005,4,((x1 OR x2) AND (x3 OR x4)),"[""atom_3090"", ""atom_123108"", ""atom_185463"", ""atom_22550""]","[""admissions"", ""albumin"", ""ast"", ""ecog""]","[""pattern_661"", ""pattern_29068"", ""pattern_45147"", ""pattern_4949""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,1,0,1.0,0.0,0.005,0.0
7,len4__admissions__albumin__ast__plt__combo54138__tmpl25,len4_0026,4,(((x1 OR x2) AND NOT x3) AND x4),"[""atom_32"", ""atom_101423"", ""atom_145295"", ""atom_278179""]","[""admissions"", ""albumin"", ""ast"", ""plt""]","[""pattern_5"", ""pattern_23579"", ""pattern_34767"", ""pattern_70240""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,0,0,0.0,0.0,0.0,0.0
8,len4__admissions__creatinine__ecog__ldh__combo57642__tmpl8,len4_0009,4,((x1 AND x2) OR (x3 AND x4)),"[""atom_32"", ""atom_151225"", ""atom_117737"", ""atom_140338""]","[""admissions"", ""creatinine"", ""ecog"", ""ldh""]","[""pattern_5"", ""pattern_36262"", ""pattern_27703"", ""pattern_33503""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,0,0,0.0,0.0,0.0,0.0
9,len4__admissions__creatinine__ecog__ldh__combo72942__tmpl8,len4_0009,4,((x1 AND x2) OR (x3 AND x4)),"[""atom_32"", ""atom_282289"", ""atom_117737"", ""atom_140338""]","[""admissions"", ""creatinine"", ""ecog"", ""ldh""]","[""pattern_5"", ""pattern_71385"", ""pattern_27703"", ""pattern_33503""]",1,0,1.0,0.0,0.0011574074074074073,0.0,0.5005787037037037,0,0,0.0,0.0,0.0,0.0
10,len4__admissions__albumin__neutrophils__plt__combo58530__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_123108"", ""atom_101976"", ""atom_100716""]","[""admissions"", ""albumin"", ""neutrophils"", ""plt""]","[""pattern_5"", ""pattern_29068"", ""pattern_23723"", ""pattern_23399""]",322,26,0.9252873563218391,0.07471264367816093,0.3726851851851852,0.007162534435261708,0.6489862707535121,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
